部分,考试类型,问题类型,问答对,筛选后三元组
中考中招,中考中招,结果篇,问：考试成绩什么时候可以查询？答：该考试由广东省考试院负责，具体信息请考生关注联招办官网（http://eea.gd.gov.cn/lhzs/index.html）《全国联招考试成绩查询、志愿填报及录取安排的通知》公告。,"['(广东省考试院, 负责, 中考中招考试)']"
中考中招,中考中招,结果篇,问：对考试成绩不认可需要复核？答：该考试由广东省考试院负责，具体信息请考生关注联招办官网（http://eea.gd.gov.cn/lhzs/index.html）《全国联招考试成绩查询、志愿填报及录取安排的通知》公告。,[]
中考中招,中考中招,报名篇,问：本市户籍参加上海中招有哪些报名条件？答：具有本市常住户口的应届初三学生或18周岁以下（2006年9月1日及以后出生，下同）往届初中毕业生、结业生，可在学籍学校（或原初中毕业学校，下同）或户口所在区报名。注：以上为2024年中招报名条件。,"['(应届初三学生, 需具有, 本市常住户口)', '(往届初中毕业生, 年龄限制为, 18周岁以下)', '(结业生, 年龄限制, 18周岁以下)', '(应届初三学生, 报名地点, 学籍学校或户口所在区)', '(往届初中毕业生, 报名地点, 原初中毕业学校)', '(往届初中毕业生或结业生, 报名地点, 学籍学校或户口所在区)', '(结业生, 报名地点, 原初中毕业学校)', '(2024年中招报名条件, 适用于, 上海中招)']"
中考中招,中考中招,报名篇,问：非本市户籍考生参加上海中招有哪些报名条件？答：符合下列情况之一的非本市常住户口学生可在本市参加中招报名：（1）学生父母一方持有效期内《上海市居住证》且积分达到标准分值，同时本人为持有效期内《上海市居住证》的应届初三学生或18周岁以下本市往届初中毕业生，可在学籍学校或学生所持有的《上海市居住证》上登记地址所在区报名。（2）学生父母一方及本人持有效期内《上海市海外人才居住证》或学生属于市人力资源社会保障局认定的“本市户籍留学人员其持外国护照子女”，学生为本市应届初三学生或18周岁以下本市往届初中毕业生，可在学籍学校所在区报名。 （3）学生父母一方现属本市常住户口（其中现属本市常住户口为学生继父母或养父母的，须依法与学生建立抚养关系或收养关系连续满3年）的本市应届初三学生或18周岁以下本市往届初中毕业生（往届生须取得2022年本市中招报名资格），可在学籍学校所在区报名。符合此类情况的学生须具有连续3年本市初中学籍；学生本人有效期内连续满3年《上海市居住证》，或有效期内《上海市居住证》地址与现属本市常住户口父（或母）实际居住地址一致。（4）学生父母一方为在沪高校、科研机构博士后流动站（工作站）人员，学生为应届初三学生或18周岁以下本市往届初中毕业生，可在学籍学校或设站单位所在区报名。 （5）学生父母一方为经市政府合作交流办审核登记的地级市以上（含地级市）政府驻沪办事机构有关工作人员，学生为本市应届初三学生或18周岁以下本市往届初中毕业生，可在学籍学校所在区报名。（6）学生属在沪台胞，香港、澳门特别行政区永久居民身份，且为本市应届初三学生或18周岁以下本市往届初中毕业生，可在学籍学校所在区报名。（7）学生属经市政府侨办认定华侨身份，且为本市应届初三学生或18周岁以下本市往届初中毕业生，可在学籍学校所在区报名。（8）学生为在沪定居并持《中华人民共和国外国人永久居留证》，且为本市应届初三学生或18周岁以下本市往届初中毕业生，可在学籍学校所在区报名。（9）学生属过渡期内锁定名单梅山后方基地职工子女，且为应届初三学生或18周岁以下往届初中毕业生，可在梅山后方基地报名。（10）持有效签证的外国护照并合法在本市居留的18周岁以下学生，如继续在本市高中阶段学校升学就读，可在学籍学校所在区报名。注：以上为2024年中招报名条件。,"['(学生父母一方, 持, 有效期内且积分达标的上海市居住证)', '(学生父母一方的上海市居住证, 积分达到, 标准分值)', '(学生父母一方及本人, 持, 上海市海外人才居住证)', '(学生, 属于, 市人社局认定的本市户籍留学人员持外国护照子女)', '(市人力资源社会保障局, 认定, 本市户籍留学人员其持外国护照子女)', '(学生父母一方, 具有, 本市常住户口)', '(学生, 持, 有效期内连续满3年上海市居住证)', '(学生父母一方, 为, 经市政府合作交流办审核登记的地级市以上政府驻沪办事机构有关工作人员)', '(学生, 属于, 在沪台胞)', '(学生, 属, 香港特别行政区永久居民身份)', '(市政府侨办, 认定, 华侨身份)', '(学生, 持, 中华人民共和国外国人永久居留证)', '(学生, 属于, 过渡期内锁定名单梅山后方基地职工子女)', '(学生, 持, 有效签证的外国护照)']"
中考中招,中考中招,报名篇,问：考生能够在多个区报名参加中招吗？答：不能。参加报名的学生只限在1个区参加报名。,"['(中考中招报名, 限报区数, 1)']"
中考中招,中考中招,报名篇,问：报名已经完成后是否可以更改报名区？答：不能更改。学生完成报名信息确认后不可更改信息。,"['(学生, 确认, 报名信息)', '(报名确认, 禁止, 更改报名区)']"
中考中招,中考中招,报名篇,问：考生已经考入了高中学校或中职校，对目前的学校不满意是否可以再次报名参加中招。答：不能，高中阶段学校在校生不得参加中招报名。,"['(考生, 就读于, 高中学校)', '(考生, 就读于, 中职校)', '(高中阶段学校在校生, 不得参加, 中招报名)']"
中考中招,中考中招,报名篇,问：是否有中招报名条件一览表？答：详见下图2024年高中阶段学校招生一览表：,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：本市常住户口学生；资格：应届初三学生或18周岁以下往届初中毕业生、结业生；相关材料：大数据中心在线核验（提供学生本人户口本复印件留档）；报考地：学籍（原毕业）学校或户口所在区；,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：非本市户口学生，学生父母一方持有效期内《上海市居住证》且积分达到标准分值；资格：应届初三学生或18周岁以下本市往届初中毕业生；相关材料：1.学生父母一方《上海市居住证》和身份证、积分通知单；2.学生本人《上海市居住证》（或居住登记凭证）、户籍材料、出生材料等（必要时再提供其他亲子关系材料）；3.学生信息须在本市居住证积分管理系统中查询确认；报考地：学籍（原毕业）学校或学生持有的《上海市居住证》上登记地址所在区；备注：今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：非本市户口学生，学生父母一方及学生本人持有效期内《上海市海外人才居住证》或学生属于市人保局认定的“本市户籍留学人员其持外国护照子女；资格：本市应届初三学生或18周岁以下本市往届初中毕业生；相关材料：1.学生父母一方及本人的身份证等材料；2.学生父母一方及本人《上海市海外人才居住证》或市人保局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》等；报考地：学籍（原毕业）学校所在区；备注：今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行。,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：非本市户口学生，学生父母一方现属本市常住户口（其中现属本市常住户口为学生继父母或养父母的，须依法与学生建立抚养关系或收养关系连续满3年）；资格：本市应届初三学生或18周岁以下本市往届初中毕业生（往届生须取得2023年本市中招报名资格）；相关材料：1.学生现属本市常住户口方父（或母）及学生本人户口证明和关系材料（必要时提供亲子关系材料），其中学生与本市现属常住户口父（或母）为继子女关系的，需提供学生父母结婚证（需在2021年8月31日之前）等婚姻关系材料。学生与本市现属常住户口父（或母）为养子女关系的，需提供学生本人合法的收养证（需在2021年8月31日之前）等收养关系材料；2.学生本人连续三年本市初中学籍；3.学生本人有效期内连续满3年《上海市居住证》（须在2021年8月31日之前办出），或者学生有效期内《上海市居住证》地址与现属本市常住户口父（或母）实际居住地址一致材料；报考地：学籍（原毕业）学校所在区；备注：今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行。,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：非本市户口学生，学生父母一方为在沪高校、科研机构博士后流动站（工作站）人员；资格：应届初三学生或18周岁以下本市往届初中毕业生；相关材料：1.学生户口本；2.上海市博士后工作办公室出具证明等；报考地：学籍（原毕业）学校或设站单位所在区；备注：今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行。,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：非本市户口学生，学生父母一方为经市政府合作交流办公室审核登记的地级市以上（含地级市）政府驻沪办事机构有关工作人员；资格：本市应届初三学生或18周岁以下本市往届初中毕业生；相关材料：市政府合作交流办和市教委共同核定名单等；报考地：学籍（原毕业）学校所在区；备注：今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行。,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：非本市户口学生，学生属在沪台胞，香港、澳门特别行政区永久居民；资格：本市应届初三学生或18周岁以下本市往届初中毕业生；相关材料：在沪台胞（以下两类符合其一）：1.学生本人《中华人民共和国台湾居民居住证》；2.学生本人台湾居民来往大陆通行证及本市境外人员住宿登记。香港、澳门特别行政区永久居民（以下两类符合其一）：1.学生本人《中华人民共和国港澳居民居住证》及香港或澳门特别行政区永久居民身份证；2.学生本人港澳居民来往大陆通行证、本市境外人员住宿登记表及香港或澳门特别行政区永久居民身份证；报考地：学籍（原毕业）学校所在区；备注：今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行。,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：非本市户口学生，学生属经市政府侨办认定的本市华侨；资格：本市应届初三学生或18周岁以下本市往届初中毕业生；相关材料：市政府侨办国内处证明等；报考地：学籍（原毕业）学校所在区；备注：今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行。,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：非本市户口学生，学生为在沪定居并持《中华人民共和国外国人永久居留证》；资格：本市应届初三学生或18周岁以下本市往届初中毕业生；相关材料：有效期内的《中华人民共和国外国人永久居留证》等；报考地：学籍（原毕业）学校所在区；备注：今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行。,
中考中招,中考中招,报名篇,问：中招报名条件。答：类型：外籍学生，学生持有效签证的外国护照；资格：本市应届初三学生或18周岁以下本市往届初中毕业生；相关材料：学生本人的有效签证外国护照（须有中华人民共和国外国人居留许可页）和境外人员住宿登记表等（必要时提供户口注销材料）；报考地：学籍（原毕业）学校所在区；备注：今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行。,
中考中招,中考中招,报名篇,问：中招报名条件。答：说明：《上海市居住证》《上海市海外人才居住证》须至2024年5月7日仍有效；本市户籍信息及《上海市居住证》等部分证明材料通过市大数中心在线核验。,"['(中招报名条件一览表, 说明文件为, 2024年高中阶段学校招生一览表说明)', '(上海市居住证, 有效期截止日期, 2024年5月7日)', '(上海市海外人才居住证, 有效期至, 2024年5月7日)', '(本市户籍信息, 核验方式, 市大数中心在线核验)', '(上海市居住证, 核验方式, 市大数中心在线核验)']"
中考中招,中考中招,报名篇,问：本市应届初三学生怎样报名？答：符合报名条件的本市应届初三学生由学籍学校组织安排，登录上海招考热线（www.shmeea.edu.cn）进行网上报名，同时在学籍学校进行报名信息确认。具体时间及政策说明均以发布的报名文件为准。,"['(本市应届初三学生, 被组织安排, 学籍学校)', '(本市应届初三学生, 进行, 上海招考热线网站在线报名)', '(本市应届初三学生, 报名信息确认地点, 学籍学校)']"
