部分,考试类型,问题类型,问答对,筛选后三元组
自学考试,自学考试,结果篇,问：成绩什么时候能查询？答：请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的信息。,"['(成绩查询时间, 发布渠道, 中国教育考试网)']"
自学考试,自学考试,结果篇,问：在上海教育考试院能查询成绩吗？答：考试成绩在中国教育考试网查询。请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的信息。,"['(中国教育考试网, 包含子网站, 同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网)']"
自学考试,自学考试,结果篇,问：对于成绩不认可，怎样申请复核？么时候可以申请成绩复核？答：考生应在中国教育考试网申请成绩复核。请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的信息。,"['(自考, 申请成绩复核渠道, 中国教育考试网)', '(成绩复核, 申请平台, 中国教育考试网)', '(中国教育考试网, 提供成绩复核服务, 同等学力人员申请硕士学位外国语水平考试)', '(中国教育考试网, 发布信息, 学科综合水平全国统一考试)']"
自学考试,自学考试,报名篇,问：自学考试每年举办几次？答：上海市高等教育自学考试一般在每年4月、10月各举行一次统一考试。具体考试安排请关注“上海招考热线”网站（www. shmeea. edu. cn）—首页—自学考试—考试日程相关内容。每次考试一般安排在周六、周日。通常提前半年公告下一次考试各专业各课程的考试日程安排。注：2024年上半年考试安排在4月13日；4月14日；4月20日；下半年考试安排在11月28日；10月29日；11月4日。,[]
自学考试,自学考试,报名篇,问：上海有哪些自学考试主考高校？开设哪些专业？答：2023年上海市共有17所主考高校，开设54个本专科专业。详细情况请关注“上海招考热线”网站（www.shmeea.edu.cn） 首页— 自学考试—政策法规“上海市高等教育自学考试专业分类表（2023年）”注：2023年自学考试专业分类表：https://www.shmeea.edu.cn/download/20230303/101.pdf。,"['(上海市主考高校, 开设, 本专科专业)']"
自学考试,自学考试,报名篇,问：看到专业表里面有优势专业/常规专业/预警专业/停考过渡专业什么意思？答：（1）优势专业是主考高校重点建设和发展的具有学科优势与特色的专业。该类专业一般以主考高校的优势学科为基础，师资力量雄厚，课程考试大纲和教材顺应学科发展变化，考生规模较大、有较好的社会声誉，鼓励考生积极报考。（2）常规专业是目前发展稳定的专业。这些专业受到主考高校的重视，在专业和课程建设、考务考籍管理、教师队伍配备等方面的质量有保证，考生人数具有一定规模，有较强的社会需求。（3）预警专业是主考高校近期有可能停止发展或进入停考的专业。建议考生慎重报考。（4）停考过渡专业是已经处于停考过渡期的专业。停考过渡期内该专业不接受新考生报考。,"['(主考高校, 重点建设与发展, 优势专业)', '(主考高校, 重视, 常规专业)', '(常规专业, 具有质量保证, 考务考籍管理)', '(预警专业, 建议, 慎重报考)']"
自学考试,自学考试,报名篇,问：停考过渡专业到完全停考有多久？答：主考高校停考专业设立最长不超过3年的过渡期，过渡期内继续安排该专业的课程考试，3年后不再颁发毕业证书。,"['(主考高校, 设立, 停考专业过渡期)', '(主考高校, 安排, 课程考试)', '(停考过渡专业, 过渡期后进入, 完全停考)']"
自学考试,自学考试,报名篇,问：专业停考后，考生还没有考完专业怎么办？答：如未完成，则相应课程可申请转考至外省市相同专业。,"['(考生, 参加, 自考)', '(考生, 申请转考至, 外省市相同专业)', '(相应课程, 可转考至, 外省市相同专业)']"
自学考试,自学考试,报名篇,问：如何办理省级转考的成绩转出？答：在籍考生离开原报考省（区、市）继续参加高等教育自学考试，须按规定办理省际转考手续。转出程序与要求如下：（1）主考高校每年1月至2月、7月至8月办理转出手续。考生转出手续具体受理时间以主考高校规定为准。（2）考生在“考生服务平台”提交转出申请，并在《高等教育自学考试转考（转出）登记表》上进行签字确认。（3）考生应当在转入地取得一门或者一门以上课程合格成绩，并取得转入地考籍后，再办理转出手续。（4）考生在因违反有关考试管理规定被停考或者延迟毕业期间，不得转出。（5）已经取得某专业全部课程合格成绩的考生，只能在本市办理毕业手续，不得转出。（6）免考取得的课程合格成绩不得转出。未通过理论课程考核的，其对应的实践环节考核成绩不得转出。毕业论文成绩不得转出。证书类课程不得转出。（7）考生办理转入手续未满一年的，不得转出。,"['(考生, 需在转入地取得, 考籍及至少一门课程合格成绩)', '(考生, 不得转出条件, 延迟毕业期间)', '(考生, 不得转出, 已取得某专业全部课程合格成绩)', '(毕业论文成绩, 禁止操作, 转出)', '(证书类课程, 禁止, 成绩转出)', '(考生, 转出受限条件, 转入手续未满一年)']"
自学考试,自学考试,报名篇,问：办理省级转考后市考试院什么时候能够审批完成？答：一般是在每年3月上旬。,"['(省级转考, 审批机构, 市教育考试院)', '(市考试院对省级转考的审批, 完成时间, 每年3月上旬)', '(省级转考, 属于, 自考)']"
