部分,考试类型,问题类型,问答对,筛选后三元组
高考学考,秋考,报名篇,问：20XX年高考大报名时间？答：考生信息采集时间一般是在每年的10月份，报名详细信息以每年上海招考热线发布的公告为准。注：2024年高考大报名信息采集时间是在2023年10月16日至19日，每天的8点-21点。10月20日的8点-16点。,"['(上海招考热线网站, 发布, 高考报名公告)', '(2024年高考大报名信息采集时间, 信息采集时间, 2023年10月16日至19日8点-21点及10月20日8点-16点)', '(2023年10月16日至19日, 信息采集时段, 每天的8点-21点)', '(2024年高考大报名信息采集时间, 额外采集时间, 10月20日8点-16点)']"
高考学考,秋考,报名篇,问：考生今年高三怎么报名参加20XX年高考？答：本市学籍应届高中阶段毕业生〔高中、中等职业技术学校（含中专、职校和技校）〕由学籍所在学校集中组织网上报名（所有应届生都应完成报名信息采集）。请考生/家长主动联系学校。,"['(中等职业学校, 包括, 中专)', '(中等职业学校, 包括, 技校)', '(学籍所在学校, 组织, 网上报名)']"
高考学考,秋考,报名篇,"问：考生是复读生，怎么报名参加20XX年高考？（往届生、返沪生、社会生如何报名？）答：非本市应届高中阶段毕业生（往届生、非本市学籍应届生等）自主登录上海招考热线网站进行报名，按不同类别选择报考所在区：本市户籍外省市就读考生、本市户籍往届生选择户籍所在区；
在职职工选择单位所在区；
非本市户籍考生选择持有的《上海市居住证》所属区。","['(往届生, 属于, 非本市应届高中阶段毕业生)', '(非本市学籍应届生, 属于, 非本市应届高中阶段毕业生)', '(非本市应届高中阶段毕业生, 报名方式, 上海市教育考试院报名网站)', '(非本市应届高中阶段毕业生, 报名参加, 20XX年高考)', '(本市户籍外省市就读考生, 选择, 户口所在区)', '(本市户籍往届生, 选择, 户口所在区)', '(在职职工, 选择, 单位所在区)', '(本市户籍外省市就读考生, 报名参加, 20XX年高考)', '(本市户籍往届生, 报名参加, 上海市20XX年高考)']"
高考学考,秋考,报名篇,问：秋考报名的网址是什么？答：凡符合上海市普通高校考试招生报名条件的考生须在规定时间里通过“上海招考热线”网站（www.shmeea.edu.cn）—首页—考试报名栏目进行网上报名，并根据报名网站的提示和要求如实填写本人报名信息。,[]
高考学考,秋考,报名篇,问：报名完成后如何确定报名是否成功？答：报名成功之后会获得流水号。,"['(高考学考-秋考, 包含, 报名篇)', '(报名成功, 获得, 流水号)']"
高考学考,秋考,报名篇,问：报名时输入信息错误了怎么办？答：网上报名截止前，考生可多次登录系统修改本人报名信息，系统以最后一次填写信息为准。,"['(秋考, 包含, 报名篇)', '(系统, 允许多次修改, 报名信息)', '(报名信息, 修改截止时间, 网上报名截止前)', '(系统, 采用, 最后一次填写信息)']"
高考学考,秋考,报名篇,问：网上报名时间过了后，才发现报考填写的信息错误了怎么办？答：请于报考确认的时候提出修改。在校生联系学校老师，往届生、社会生等联系区招考机构。,"['(在校生, 联系, 在校老师)', '(往届生, 联系, 区考试招生机构)', '(社会生, 联系, 区考试招生机构)', '(报考填写的信息错误, 处理阶段, 报考确认)', '(秋考, 包含, 报名篇)']"
高考学考,秋考,报名篇,问：考生报名成功后，但是家里突然搬家了怎么办？（报名成功后考生的政治面貌、户籍类别、户籍地址、通讯地址等基本信息发生变化怎么办？）答：报名后考生基本信息发生变化需要更正的（如政治面貌、户籍类别、户籍地址、通讯地址等），应及时向学籍所在学校或报名所在区考试招生机构提出书面申请并附相关证明材料。,"['(基本信息, 包含, 政治面貌)', '(基本信息, 包含, 户籍所在地)', '(基本信息, 包含, 通讯地址)', '(考生, 申请更正, 基本信息)', '(考生, 需提交, 书面申请及相关证明材料)', '(书面申请, 需附带, 相关证明材料)', '(学籍所在学校, 处理, 书面申请)', '(区考试招生机构, 处理, 书面申请)']"
高考学考,秋考,报名篇,问：考生基本信息修改安排在什么时间？答：如有信息变更请第一时间与学籍所在学校或区考试招生机构联系。一般有四次信息更正，具体时间段安排以各学校或区考试招生机构公布为准。以下是2024年高考信息修改时间：第一次2024年1月9日（春考后）；第二次2024年3月初（第一次补报名）；第三次2024年4月中上旬（第二次补报名）；第四次2024年6月10日（秋考后）。,"['(考生基本信息修改, 有更正次数, 4次)', '(信息变更, 处理机构, 学籍所在学校或区考试招生机构)', '(信息变更, 处理机构, 学籍所在学校或区考试招生机构)', '(2024年高考信息修改时间, 第一次修改时间, 2024年1月9日)', '(2024年高考信息修改时间, 第二次信息更正时间, 2024年3月初)', '(2024年高考信息修改时间, 包含时间段, 2024年4月中上旬)', '(2024年高考信息修改时间, 第四次更正时间, 2024年6月10日)', '(第一次补报名, 时间, 2024年3月初)', '(2024年4月中上旬, 对应补报名阶段, 第二次补报名)', '(2024年6月10日, 对应阶段, 秋考后)']"
高考学考,秋考,报名篇,问：考生当年中招录取的是中高职贯通/五年一贯制/中本贯通需要报名高考吗？答：需要。中高职教育贯通培养模式试点（中高职贯通）、中等职业教育—应用本科专业贯通培养模式试点（中本贯通）、五年一贯制需办理转入高等学校手续的学生也须根据上海市教育考试院的具体安排办理报名手续。,"['(中高职贯通考生, 需报名, 高考)', '(中本贯通, 必须报名, 高考)', '(五年一贯制学生, 需办理报名手续, 高考)', '(五年一贯制学生, 需办理, 报名手续)', '(上海教育考试院, 规定, 报名手续)']"
